city,cloudiness,Country,date,humid,lat,lng,max_temp,wind_speed
dukat,100,RU,03/16/2020,90,62.55,155.55,3.76,5.61
khasan,98,RU,03/16/2020,39,42.43,130.64,35.04,9.06
whitehorse,40,CA,03/16/2020,34,60.72,-135.05,33.8,2.24
constantine,75,DZ,03/16/2020,87,36.37,6.61,50.0,2.24
bisira,87,PA,03/16/2020,91,8.52,-81.71,65.23,13.2
kimbe,100,PG,03/16/2020,63,-5.55,150.14,86.05,5.32
svetlogorsk,0,BY,03/16/2020,57,52.63,29.73,28.4,5.68
naryan-mar,100,RU,03/16/2020,93,67.67,53.09,19.98,19.93
chifeng,0,CN,03/16/2020,27,42.27,118.96,50.07,22.55
dapaong,1,TG,03/16/2020,15,10.86,0.2,79.68,6.82
jumla,0,NP,03/16/2020,27,29.27,82.18,38.73,4.21
juneau,20,US,03/16/2020,64,58.3,-134.42,37.99,3.36
vacha,28,RU,03/16/2020,87,55.8,42.77,22.8,9.51
vao,10,NC,03/16/2020,72,-22.67,167.48,81.21,28.14
mitsamiouli,46,KM,03/16/2020,72,-11.38,43.28,83.34,2.62
zharkent,0,KZ,03/16/2020,22,44.16,80.0,53.58,13.91
hobbs,90,US,03/16/2020,100,32.7,-103.14,46.4,9.17
clyde river,40,CA,03/16/2020,74,70.47,-68.59,-22.0,17.22
nador,90,MA,03/16/2020,87,35.17,-2.93,60.8,4.7
huallanca,100,PE,03/16/2020,85,-9.9,-76.94,40.15,5.57
port lincoln,57,AU,03/16/2020,41,-34.73,135.87,74.35,16.67
saint-francois,33,FR,03/16/2020,82,46.42,3.91,35.6,3.36
savannah bight,0,HN,03/16/2020,78,16.45,-85.85,80.22,14.32
itamaraju,92,BR,03/16/2020,96,-17.04,-39.53,71.19,1.97
avera,90,US,03/16/2020,77,33.19,-82.53,62.6,8.05
tarko-sale,100,RU,03/16/2020,80,64.92,77.78,-4.72,15.99
uray,100,RU,03/16/2020,87,60.12,64.78,13.28,9.42
tautira,40,PF,03/16/2020,66,-17.73,-149.15,86.0,8.05
marienburg,100,PL,03/16/2020,51,54.04,19.03,39.0,11.41
diffa,29,NE,03/16/2020,15,13.32,12.61,64.06,5.99
stejaru,0,RO,03/16/2020,73,44.77,28.55,23.0,2.24
walvis bay,0,NA,03/16/2020,87,-22.96,14.51,61.0,9.17
korla,96,CN,03/16/2020,21,41.76,86.15,39.74,3.83
severo-yeniseyskiy,100,RU,03/16/2020,90,60.37,93.04,30.33,8.57
varhaug,40,NO,03/16/2020,93,58.61,5.65,41.0,5.82
ranong,75,TH,03/16/2020,66,9.97,98.63,87.8,8.05
tatawin,0,TN,03/16/2020,81,32.93,10.45,51.8,3.36
kafanchan,25,NG,03/16/2020,13,9.58,8.3,69.73,5.82
dicabisagan,100,PH,03/16/2020,88,17.08,122.42,72.3,12.53
bay roberts,20,CA,03/16/2020,73,47.6,-53.26,26.01,9.17
capoterra,47,IT,03/16/2020,100,39.18,8.97,53.01,5.82
shizuishan,97,CN,03/16/2020,17,39.23,106.77,47.37,3.69
mumbwa,100,ZM,03/16/2020,94,-14.98,27.06,64.33,1.5
sinegorye,88,RU,03/16/2020,93,62.08,150.48,-4.45,5.35
mastic beach,1,US,03/16/2020,38,40.77,-72.85,41.0,5.82
chapais,1,CA,03/16/2020,75,49.78,-74.85,-14.8,0.89
yefremov,1,RU,03/16/2020,62,53.15,38.1,27.16,12.44
daru,76,PG,03/16/2020,60,-9.08,143.21,87.66,5.66
terney,41,RU,03/16/2020,55,45.05,136.61,29.37,6.69
along,83,IN,03/16/2020,53,28.17,94.77,74.66,4.52
verkhoyansk,91,RU,03/16/2020,72,67.54,133.38,0.9,7.05
sapa,44,PH,03/16/2020,66,5.15,120.32,82.72,4.09
carballo,40,ES,03/16/2020,76,43.21,-8.69,51.01,12.75
jiuquan,100,CN,03/16/2020,30,39.74,98.52,36.37,5.23
sitka,20,US,03/16/2020,69,57.05,-135.33,39.2,6.93
nantucket,1,US,03/16/2020,80,41.28,-70.1,30.2,6.93
evensk,100,RU,03/16/2020,92,61.95,159.23,16.9,21.56
college,40,US,03/16/2020,79,64.86,-147.8,30.2,5.82
mayor pablo lagerenza,88,PY,03/16/2020,56,-19.93,-60.77,81.5,3.85
birjand,40,IR,03/16/2020,71,32.87,59.22,51.8,6.93
waipawa,100,NZ,03/16/2020,72,-41.41,175.52,68.0,18.34
wajima,75,JP,03/16/2020,55,37.4,136.9,39.2,8.05
savonlinna,90,FI,03/16/2020,93,61.87,28.88,35.01,16.11
talnakh,40,RU,03/16/2020,75,69.49,88.4,-13.0,8.95
liverpool,40,GB,03/16/2020,81,53.41,-2.98,44.6,9.17
boulsa,32,BF,03/16/2020,15,12.67,-0.58,74.3,6.85
rock sound,0,BS,03/16/2020,78,24.9,-76.2,72.03,13.13
resavica,0,RS,03/16/2020,44,44.04,21.58,33.91,11.72
mustang,90,US,03/16/2020,93,35.38,-97.72,46.0,8.05
waingapu,19,ID,03/16/2020,67,-9.66,120.26,83.98,1.66
jackson,90,US,03/16/2020,86,42.42,-122.83,37.99,8.05
san rafael,0,AR,03/16/2020,60,-34.62,-68.33,58.33,4.12
quixada,100,BR,03/16/2020,97,-4.97,-39.02,73.42,2.28
vila real,1,PT,03/16/2020,8,41.3,-7.74,41.0,3.0
aripuana,100,BR,03/16/2020,96,-9.17,-60.63,70.07,1.45
christchurch,100,NZ,03/16/2020,59,-43.53,172.63,63.0,23.04
khipro,65,PK,03/16/2020,17,25.83,69.38,84.38,9.51
port-gentil,100,GA,03/16/2020,79,-0.72,8.78,82.35,7.99
saint-joseph,13,RE,03/16/2020,65,-21.37,55.62,80.6,6.93
numan,52,NG,03/16/2020,16,9.47,12.03,70.75,1.9
davlekanovo,90,RU,03/16/2020,100,54.22,55.03,33.8,8.95
piranshahr,100,IR,03/16/2020,97,36.7,45.14,37.56,5.68
havelock,90,US,03/16/2020,76,34.88,-76.9,48.99,11.41
leshukonskoye,100,RU,03/16/2020,90,64.9,45.76,19.04,13.38
mount pleasant,90,US,03/16/2020,82,32.79,-79.86,57.99,4.7
pacifica,90,US,03/16/2020,93,37.61,-122.49,48.99,4.7
windsor,1,CA,03/16/2020,74,42.3,-83.02,30.99,6.93
teya,100,RU,03/16/2020,91,60.38,92.63,30.18,8.63
antalaha,100,MG,03/16/2020,76,-14.9,50.28,80.85,14.65
mezen,100,RU,03/16/2020,91,65.85,44.24,26.22,18.5
cabedelo,75,BR,03/16/2020,94,-6.98,-34.83,77.0,5.82
vostok,28,RU,03/16/2020,76,46.49,135.88,19.0,11.72
jaynagar-majilpur,40,IN,03/16/2020,73,22.18,88.42,81.0,6.93
norwich,0,GB,03/16/2020,93,52.63,1.3,39.99,6.93
maarianhamina,90,AX,03/16/2020,87,60.1,19.93,42.8,8.05
tazmalt,40,DZ,03/16/2020,87,36.39,4.4,57.2,5.82
kovur,3,IN,03/16/2020,45,14.48,79.98,90.9,12.44
bosaso,20,SO,03/16/2020,88,11.28,49.18,77.0,7.2
acapulco,40,MX,03/16/2020,78,16.86,-99.89,82.4,6.93
bowen,61,AU,03/16/2020,61,-20.02,148.23,82.4,14.99
svetlyy,100,RU,03/16/2020,44,54.67,20.13,37.4,13.42
valdemarpils,84,LV,03/16/2020,70,57.37,22.59,41.0,20.8
gat,18,IL,03/16/2020,82,31.61,34.76,57.2,3.36
san cristobal,20,VE,03/16/2020,69,7.77,-72.22,77.0,4.7
baoro,88,CF,03/16/2020,28,5.67,15.97,67.53,1.74
neiafu,75,TO,03/16/2020,79,-18.65,-173.98,84.2,5.82
apollonia,99,GR,03/16/2020,76,36.97,24.72,53.01,24.16
oxapampa,96,PE,03/16/2020,96,-10.58,-75.4,53.98,3.44
boende,98,CD,03/16/2020,96,-0.22,20.87,72.7,0.51
roela,100,EE,03/16/2020,90,59.17,26.59,33.37,15.68
riyadh,0,SA,03/16/2020,59,24.69,46.72,60.8,7.74
ngunguru,100,NZ,03/16/2020,78,-35.62,174.5,66.99,3.0
mangrol,69,IN,03/16/2020,44,21.12,70.12,82.4,11.36
seoul,1,KR,03/16/2020,23,37.57,126.98,48.2,5.82
minot,90,US,03/16/2020,92,48.23,-101.3,28.4,10.29
kasba,0,IN,03/16/2020,21,25.85,87.55,86.77,14.5
ponta delgada,20,PT,03/16/2020,81,37.73,-25.67,53.6,3.36
haines junction,45,CA,03/16/2020,84,60.75,-137.51,16.3,3.0
mutis,100,CO,03/16/2020,80,6.23,-77.4,77.63,2.75
maracaju,74,BR,03/16/2020,88,-21.61,-55.17,72.21,3.56
fallon,1,US,03/16/2020,64,39.47,-118.78,44.6,6.93
vila franca do campo,20,PT,03/16/2020,81,37.72,-25.43,53.6,3.36
tullahoma,90,US,03/16/2020,87,35.36,-86.21,44.6,8.05
pacific grove,90,US,03/16/2020,81,36.62,-121.92,52.0,9.17
sarakhs,100,IR,03/16/2020,67,36.54,61.16,60.8,6.82
kokopo,99,PG,03/16/2020,72,-4.35,152.26,84.34,9.51
port hardy,5,CA,03/16/2020,64,50.7,-127.42,33.8,2.24
zakopane,29,PL,03/16/2020,45,49.3,19.95,24.8,6.93
praya,20,CV,03/16/2020,77,14.92,-23.51,69.8,17.22
pavilosta,99,LV,03/16/2020,73,56.89,21.19,41.0,12.75
lavumisa,77,SZ,03/16/2020,92,-27.31,31.89,68.61,4.09
broken hill,40,AU,03/16/2020,28,-31.95,141.43,80.6,11.41
casa nova,75,BR,03/16/2020,69,-9.42,-41.13,80.6,6.93
ahuimanu,90,US,03/16/2020,74,21.44,-157.84,78.8,2.3
turkistan,82,KZ,03/16/2020,18,43.0,68.0,73.13,10.6
apatity,100,RU,03/16/2020,96,67.56,33.4,30.4,8.03
pryazha,100,RU,03/16/2020,86,61.69,33.62,30.2,20.13
wucheng,40,CN,03/16/2020,55,29.6,118.17,63.0,4.5
yakeshi,100,CN,03/16/2020,86,49.28,120.73,19.92,5.88
prince george,1,CA,03/16/2020,56,53.92,-122.75,17.01,1.41
burnie,78,AU,03/16/2020,66,-41.07,145.92,63.0,13.0
coruripe,53,BR,03/16/2020,77,-10.13,-36.18,80.37,4.16
moree,75,AU,03/16/2020,34,-29.47,149.85,80.6,10.29
broome,1,US,03/16/2020,49,42.25,-75.83,26.01,3.36
sisimiut,94,GL,03/16/2020,95,66.94,-53.67,-11.81,6.73
caravelas,100,BR,03/16/2020,80,-17.71,-39.25,80.2,7.7
turukhansk,82,RU,03/16/2020,83,65.82,87.98,2.66,9.51
toora-khem,100,RU,03/16/2020,95,52.47,96.11,35.06,3.56
boli,64,CN,03/16/2020,73,45.77,130.52,27.39,16.24
leshan,100,CN,03/16/2020,61,29.56,103.76,59.27,7.27
batouri,90,CM,03/16/2020,32,4.43,14.37,71.85,2.1
takoradi,67,GH,03/16/2020,95,4.88,-1.76,77.25,3.2
weinan,100,CN,03/16/2020,39,34.5,109.51,63.0,6.71
kulhudhuffushi,68,MV,03/16/2020,75,6.62,73.07,83.48,7.85
itarema,100,BR,03/16/2020,96,-2.92,-39.92,74.41,4.12
kaseda,20,JP,03/16/2020,37,31.42,130.32,50.0,12.75
paamiut,0,GL,03/16/2020,59,61.99,-49.67,-4.2,15.32
butembo,2,CD,03/16/2020,79,0.15,29.28,69.89,1.36
sorong,1,ID,03/16/2020,49,-0.88,131.25,89.49,6.29
anqing,85,CN,03/16/2020,29,30.51,117.05,72.72,1.39
biskupiec,99,PL,03/16/2020,40,53.86,20.96,35.69,18.14
